Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
io_heavy_FPPQ,24,10,338,14.8%,0.0296,170.10,0.00,0.00
io_heavy_FPPQ,24,100,2809,14.2%,0.0356,1212.65,1.62,0.00
io_heavy_FPPQ,24,500,14958,14.9%,0.0334,6495.86,9.98,0.00
io_heavy_FPPQ,24,1000,31208,15.1%,0.0320,13923.62,20.41,0.00
io_heavy_FPPQ,32,10,387,14.7%,0.0258,205.70,0.00,0.00
io_heavy_FPPQ,32,100,2842,14.8%,0.0352,1288.80,1.09,0.00
io_heavy_FPPQ,32,500,14708,15.0%,0.0340,6487.50,7.33,0.00
io_heavy_FPPQ,32,1000,30451,15.2%,0.0328,13544.38,15.20,0.00
io_heavy_FPPQ,48,10,396,16.7%,0.0253,197.20,0.00,0.00
io_heavy_FPPQ,48,100,2996,15.0%,0.0334,1372.18,0.56,0.00
io_heavy_FPPQ,48,500,15432,14.8%,0.0324,6759.36,4.73,0.00
io_heavy_FPPQ,48,1000,29693,15.0%,0.0337,13272.10,9.95,0.00
