Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_heavy_roundrobin,48,1000,5509,98.3%,0.1815,3588.37,74.05,26.62
cpu_heavy_spf,1,10,376,99.2%,0.0266,236.50,192.70,52.10
cpu_heavy_spf,1,100,2821,100.0%,0.0354,1482.39,1449.19,518.48
cpu_heavy_spf,1,500,14866,100.0%,0.0336,7776.46,7741.28,2704.07
cpu_heavy_spf,1,1000,29197,100.0%,0.0343,15220.85,15186.34,4978.10
cpu_heavy_spf,2,10,167,99.4%,0.0599,112.40,72.90,12.30
cpu_heavy_spf,2,100,1622,99.9%,0.0617,882.51,841.99,234.57
cpu_heavy_spf,2,500,7437,99.9%,0.0672,3910.19,3867.75,1230.83
cpu_heavy_spf,2,1000,15367,100.0%,0.0651,8129.55,8076.40,2473.53
cpu_heavy_spf,4,10,80,97.5%,0.1250,47.40,16.10,8.20
cpu_heavy_spf,4,100,794,99.6%,0.1259,415.44,365.48,152.13
cpu_heavy_spf,4,500,3864,100.0%,0.1294,2092.14,1938.90,649.70
cpu_heavy_spf,4,1000,7670,100.0%,0.1304,4147.00,3904.92,1258.54
cpu_heavy_spf,8,10,83,96.4%,0.1205,51.00,0.70,0.70
cpu_heavy_spf,8,100,555,99.3%,0.1802,360.02,51.48,33.66
cpu_heavy_spf,8,500,2763,99.5%,0.1810,1779.01,285.48,189.16
cpu_heavy_spf,8,1000,5504,98.9%,0.1817,3512.87,590.20,377.42
cpu_heavy_spf,16,10,85,95.3%,0.1176,35.30,0.00,0.00
cpu_heavy_spf,16,100,603,99.3%,0.1658,419.97,14.13,11.91
cpu_heavy_spf,16,500,2769,98.9%,0.1806,1808.71,77.65,68.59
cpu_heavy_spf,16,1000,5458,98.7%,0.1832,3543.55,161.77,137.33
cpu_heavy_spf,24,10,79,98.7%,0.1266,54.00,0.00,0.00
cpu_heavy_spf,24,100,559,99.5%,0.1789,360.65,6.65,6.32
cpu_heavy_spf,24,500,2726,98.8%,0.1834,1774.76,43.83,40.62
cpu_heavy_spf,24,1000,5531,98.3%,0.1808,3594.12,95.93,86.05
cpu_heavy_spf,32,10,87,97.7%,0.1149,53.40,0.00,0.00
cpu_heavy_spf,32,100,566,99.5%,0.1767,379.37,3.61,3.41
cpu_heavy_spf,32,500,2733,98.7%,0.1829,1761.44,32.17,30.79
cpu_heavy_spf,32,1000,5437,98.5%,0.1839,3530.30,62.08,58.71
cpu_heavy_spf,48,10,76,98.7%,0.1316,48.10,0.00,0.00
cpu_heavy_spf,48,100,545,99.8%,0.1835,362.51,2.14,2.14
cpu_heavy_spf,48,500,2713,98.4%,0.1843,1762.62,19.09,18.20
cpu_heavy_spf,48,1000,5596,98.4%,0.1787,3683.36,41.06,39.48
cpu_heavy_srtf,1,10,291,99.3%,0.0344,193.10,158.40,28.20
cpu_heavy_srtf,1,100,2803,99.9%,0.0357,1394.16,1361.08,563.30
cpu_heavy_srtf,1,500,15032,100.0%,0.0333,8248.39,8212.86,2519.09
cpu_heavy_srtf,1,1000,30185,100.0%,0.0331,15675.56,15639.88,5067.71
cpu_heavy_srtf,2,10,159,98.7%,0.0629,88.20,51.20,21.40
cpu_heavy_srtf,2,100,1583,99.7%,0.0632,847.10,808.56,281.33
cpu_heavy_srtf,2,500,7463,100.0%,0.0670,3924.84,3883.06,1294.57
