Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
balanced_FPPQ,16,500,8193,84.8%,0.0610,3878.69,78.20,0.00
balanced_FPPQ,16,1000,16620,85.4%,0.0602,7830.01,163.57,0.00
balanced_FPPQ,24,10,213,83.6%,0.0469,108.00,0.00,0.00
balanced_FPPQ,24,100,1534,84.4%,0.0652,757.62,6.75,0.00
balanced_FPPQ,24,500,7864,84.6%,0.0636,3718.28,48.02,0.00
balanced_FPPQ,24,1000,16226,85.3%,0.0616,7696.28,105.28,0.00
balanced_FPPQ,32,10,183,90.2%,0.0546,110.00,0.00,0.00
balanced_FPPQ,32,100,1741,85.0%,0.0574,864.74,5.17,0.00
balanced_FPPQ,32,500,7928,85.5%,0.0631,3749.88,34.81,0.00
balanced_FPPQ,32,1000,16322,84.4%,0.0613,7621.20,76.92,0.00
balanced_FPPQ,48,10,132,75.8%,0.0758,68.20,0.00,0.00
balanced_FPPQ,48,100,1778,87.1%,0.0562,848.42,2.38,0.00
balanced_FPPQ,48,500,8067,84.5%,0.0620,3802.18,21.80,0.00
balanced_FPPQ,48,1000,17022,84.4%,0.0587,8116.22,49.66,0.00
