Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_only_spf,1,500,29648,100.0%,0.0169,13821.21,13761.92,13761.92
cpu_only_spf,1,1000,60851,100.0%,0.0164,28762.00,28701.15,28701.15
cpu_only_spf,2,10,311,100.0%,0.0322,113.90,63.40,63.40
cpu_only_spf,2,100,2903,100.0%,0.0344,1384.68,1327.14,1327.14
cpu_only_spf,2,500,15729,100.0%,0.0318,7503.16,7440.32,7440.32
cpu_only_spf,2,1000,31334,100.0%,0.0319,15013.60,14950.94,14950.94
cpu_only_spf,4,10,193,100.0%,0.0518,105.50,40.00,40.00
cpu_only_spf,4,100,1621,100.0%,0.0617,783.71,720.21,720.21
cpu_only_spf,4,500,7637,100.0%,0.0655,3524.85,3464.00,3464.00
cpu_only_spf,4,1000,16164,100.0%,0.0619,7718.24,7653.66,7653.66
cpu_only_spf,8,10,112,100.0%,0.0893,64.40,4.20,4.20
cpu_only_spf,8,100,859,100.0%,0.1164,396.24,332.45,332.45
cpu_only_spf,8,500,3866,100.0%,0.1293,1816.93,1756.23,1756.23
cpu_only_spf,8,1000,8251,100.0%,0.1212,3886.22,3821.04,3821.04
cpu_only_spf,16,10,90,100.0%,0.1111,50.90,0.00,0.00
cpu_only_spf,16,100,447,100.0%,0.2237,215.43,152.00,152.00
cpu_only_spf,16,500,2037,100.0%,0.2455,967.87,904.29,904.29
cpu_only_spf,16,1000,4098,100.0%,0.2440,1947.13,1882.65,1882.65
cpu_only_spf,24,10,130,100.0%,0.0769,91.70,0.00,0.00
cpu_only_spf,24,100,324,100.0%,0.3086,140.23,79.25,79.25
cpu_only_spf,24,500,1354,100.0%,0.3693,637.90,576.13,576.13
cpu_only_spf,24,1000,2741,100.0%,0.3648,1262.39,1199.58,1199.58
cpu_only_spf,32,10,115,100.0%,0.0870,71.40,0.00,0.00
cpu_only_spf,32,100,250,100.0%,0.4000,112.90,51.69,51.69
cpu_only_spf,32,500,1132,100.0%,0.4417,531.33,463.22,463.22
cpu_only_spf,32,1000,2071,100.0%,0.4829,961.50,897.92,897.92
cpu_only_spf,48,10,113,100.0%,0.0885,49.30,0.00,0.00
cpu_only_spf,48,100,204,100.0%,0.4902,94.27,29.03,29.03
cpu_only_spf,48,500,750,100.0%,0.6667,339.02,274.85,274.85
cpu_only_spf,48,1000,1434,100.0%,0.6974,658.66,593.72,593.72
cpu_only_srtf,1,10,515,100.0%,0.0194,302.10,250.60,81.80
cpu_only_srtf,1,100,6379,100.0%,0.0157,3344.59,3280.80,1250.88
cpu_only_srtf,1,500,30903,100.0%,0.0162,15846.00,15784.20,6627.16
cpu_only_srtf,1,1000,61384,100.0%,0.0163,31325.06,31263.68,12984.12
cpu_only_srtf,2,10,258,100.0%,0.0388,162.00,111.80,36.10
cpu_only_srtf,2,100,3025,100.0%,0.0331,1551.64,1491.63,544.57
cpu_only_srtf,2,500,15257,100.0%,0.0328,8069.50,8008.47,3055.84
cpu_only_srtf,2,1000,31419,100.0%,0.0318,16383.33,16320.51,6627.44
cpu_only_srtf,4,10,103,100.0%,0.0971,45.20,17.10,15.60
cpu_only_srtf,4,100,1539,100.0%,0.0650,782.08,722.25,337.39
cpu_only_srtf,4,500,7687,100.0%,0.0650,4005.24,3943.87,1697.61
cpu_only_srtf,4,1000,15334,100.0%,0.0652,7849.23,7787.93,3318.50
cpu_only_srtf,8,10,174,100.0%,0.0575,93.20,10.40,4.70
cpu_only_srtf,8,100,865,100.0%,0.1156,456.56,390.47,157.72
