Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
io_heavy_srtf,16,500,15082,15.0%,0.0332,9836.08,15.22,15.13
io_heavy_srtf,16,1000,31161,15.1%,0.0321,20736.27,31.07,30.75
io_heavy_srtf,24,10,349,15.8%,0.0287,254.00,0.00,0.00
io_heavy_srtf,24,100,2956,14.6%,0.0338,1898.57,1.60,1.60
io_heavy_srtf,24,500,15092,14.8%,0.0331,9863.15,9.99,9.92
io_heavy_srtf,24,1000,31809,15.1%,0.0314,21156.60,20.51,20.34
io_heavy_srtf,32,10,277,14.4%,0.0361,187.80,0.00,0.00
io_heavy_srtf,32,100,2828,15.4%,0.0354,1807.69,1.08,1.08
io_heavy_srtf,32,500,15466,14.8%,0.0323,10029.64,7.35,7.32
io_heavy_srtf,32,1000,31676,14.9%,0.0316,20946.37,15.18,15.13
io_heavy_srtf,48,10,300,15.0%,0.0333,200.30,0.00,0.00
io_heavy_srtf,48,100,2730,14.5%,0.0366,1708.81,0.56,0.56
io_heavy_srtf,48,500,14681,14.6%,0.0341,9376.03,4.74,4.72
io_heavy_srtf,48,1000,29650,14.8%,0.0337,18892.37,9.95,9.92
