Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_only_srtf,4,100,3053,15.6%,0.0328,1963.44,12.29,12.00
cpu_only_srtf,4,500,14829,15.6%,0.0337,9577.44,65.10,62.00
cpu_only_srtf,4,1000,30763,15.8%,0.0325,20320.01,129.95,124.50
cpu_only_srtf,8,10,407,14.3%,0.0246,286.50,0.20,0.20
cpu_only_srtf,8,100,3138,14.8%,0.0319,2034.45,5.85,5.76
cpu_only_srtf,8,500,14931,15.3%,0.0335,9700.86,31.36,30.75
cpu_only_srtf,8,1000,30193,15.3%,0.0331,19407.89,63.31,62.00
cpu_only_srtf,16,10,266,14.3%,0.0376,203.80,0.00,0.00
cpu_only_srtf,16,100,2835,15.3%,0.0353,1911.36,2.67,2.64
cpu_only_srtf,16,500,15235,15.1%,0.0328,9835.31,15.27,15.13
cpu_only_srtf,16,1000,30929,15.1%,0.0323,20285.48,31.02,30.75
cpu_only_srtf,24,10,393,13.2%,0.0254,287.70,0.00,0.00
cpu_only_srtf,24,100,2738,15.0%,0.0365,1683.22,1.61,1.60
cpu_only_srtf,24,500,15186,14.9%,0.0329,9822.86,9.96,9.92
cpu_only_srtf,24,1000,30781,15.0%,0.0325,19950.62,20.50,20.34
cpu_only_srtf,32,10,245,15.1%,0.0408,166.80,0.00,0.00
cpu_only_srtf,32,100,3131,15.0%,0.0319,2051.71,1.08,1.08
cpu_only_srtf,32,500,15300,15.1%,0.0327,9960.67,7.35,7.32
cpu_only_srtf,32,1000,30485,15.0%,0.0328,20040.90,15.22,15.13
cpu_only_srtf,48,10,348,14.1%,0.0287,225.90,0.00,0.00
cpu_only_srtf,48,100,3056,15.0%,0.0327,1990.64,0.56,0.56
cpu_only_srtf,48,500,15020,15.1%,0.0333,9775.44,4.74,4.72
cpu_only_srtf,48,1000,29750,14.9%,0.0336,19117.72,9.95,9.92
