Time,New Queue,Ready Queue,CPU Core 0,CPU Core 1,Blocked Queue,IO,Exit Queue
0,B C D ,,A,,,,
1,B C D ,,A,,,,
2,C D ,,A,B,,,
3,D ,B ,A,C,,,
4,D ,,B,C,,A,
5,D ,,B,,C ,A,
6,D ,,B,,C ,A,
7,,,B,D,C ,A,
8,,,B,A,D ,C,
9,,A ,B,C,,D,
10,,A D ,B,C,,,
11,,,D,A,,B,C 
12,,,B,A,,D,C 
13,,B ,D,A,,,C 
14,,,B,,,A,C D 
15,,,B,,,A,C D 
16,,,B,,,A,C D 
17,,,B,,,A,C D 
18,,,B,A,,,C D 
19,,,B,A,,,C D 
20,,,B,A,,,C D 
21,,,,A,,,C D B 
