Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_heavy_spf,16,1000,5593,98.4%,0.1788,3664.08,171.15,144.89
cpu_heavy_spf,24,10,77,94.8%,0.1299,41.00,0.00,0.00
cpu_heavy_spf,24,100,502,99.2%,0.1992,300.83,6.50,5.95
cpu_heavy_spf,24,500,2906,98.5%,0.1721,1931.96,48.27,44.73
cpu_heavy_spf,24,1000,5381,98.6%,0.1858,3469.00,99.88,90.51
cpu_heavy_spf,32,10,51,98.0%,0.1961,26.00,0.00,0.00
cpu_heavy_spf,32,100,572,99.0%,0.1748,376.51,3.73,3.65
cpu_heavy_spf,32,500,2695,98.9%,0.1855,1718.28,33.12,31.53
cpu_heavy_spf,32,1000,5523,98.3%,0.1811,3560.05,65.60,61.95
cpu_heavy_spf,48,10,80,98.8%,0.1250,44.20,0.00,0.00
cpu_heavy_spf,48,100,565,99.8%,0.1770,362.44,1.82,1.82
cpu_heavy_spf,48,500,2741,98.7%,0.1824,1777.01,18.44,17.90
cpu_heavy_spf,48,1000,5446,98.2%,0.1836,3509.68,41.99,40.46
cpu_heavy_srtf,1,10,285,97.5%,0.0351,154.70,122.00,68.70
cpu_heavy_srtf,1,100,3038,99.9%,0.0329,1600.97,1565.28,461.48
cpu_heavy_srtf,1,500,14916,100.0%,0.0335,7777.77,7742.57,2666.84
cpu_heavy_srtf,1,1000,29806,100.0%,0.0336,15455.52,15420.31,5148.88
cpu_heavy_srtf,2,10,179,96.1%,0.0559,81.40,45.20,24.00
cpu_heavy_srtf,2,100,1565,99.7%,0.0639,861.59,823.84,269.45
cpu_heavy_srtf,2,500,7826,100.0%,0.0639,4201.14,4156.34,1303.41
cpu_heavy_srtf,2,1000,15347,100.0%,0.0652,8325.74,8275.11,2460.27
cpu_heavy_srtf,4,10,107,98.1%,0.0935,63.50,21.60,8.80
cpu_heavy_srtf,4,100,812,99.8%,0.1232,428.47,377.01,131.04
cpu_heavy_srtf,4,500,3838,99.9%,0.1303,2110.63,1954.32,627.99
cpu_heavy_srtf,4,1000,7574,100.0%,0.1320,4062.14,3784.29,1258.96
cpu_heavy_srtf,8,10,86,96.5%,0.1163,43.60,0.20,0.20
cpu_heavy_srtf,8,100,578,99.8%,0.1730,371.85,43.42,28.66
cpu_heavy_srtf,8,500,2659,99.2%,0.1880,1690.09,301.29,175.66
cpu_heavy_srtf,8,1000,5660,99.2%,0.1767,3680.07,558.28,369.80
cpu_heavy_srtf,16,10,67,97.0%,0.1493,30.00,0.00,0.00
cpu_heavy_srtf,16,100,565,98.2%,0.1770,373.93,11.23,10.17
cpu_heavy_srtf,16,500,2703,98.6%,0.1850,1728.18,79.12,68.59
cpu_heavy_srtf,16,1000,5484,98.6%,0.1823,3541.66,166.26,146.03
cpu_heavy_srtf,24,10,82,97.6%,0.1220,53.80,0.00,0.00
cpu_heavy_srtf,24,100,528,98.9%,0.1894,341.25,6.62,6.01
cpu_heavy_srtf,24,500,2783,98.8%,0.1797,1836.40,48.07,44.41
cpu_heavy_srtf,24,1000,5351,98.4%,0.1869,3411.25,95.24,88.01
cpu_heavy_srtf,32,10,69,98.6%,0.1449,51.80,0.00,0.00
cpu_heavy_srtf,32,100,536,98.3%,0.1866,352.69,3.42,3.22
cpu_heavy_srtf,32,500,2750,98.4%,0.1818,1770.11,32.18,30.28
cpu_heavy_srtf,32,1000,5510,98.5%,0.1815,3630.77,67.96,64.28
cpu_heavy_srtf,48,10,79,97.5%,0.1266,48.30,0.00,0.00
cpu_heavy_srtf,48,100,554,98.9%,0.1805,355.69,1.62,1.62
cpu_heavy_srtf,48,500,2845,98.1%,0.1757,1867.27,19.27,18.53
cpu_heavy_srtf,48,1000,5711,98.1%,0.1751,3771.43,41.33,39.86
