Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
cpu_only_spf,48,10,119,100.0%,0.0840,59.70,0.00,0.00
cpu_only_spf,48,100,220,100.0%,0.4545,101.80,30.84,30.84
cpu_only_spf,48,500,724,100.0%,0.6906,322.69,261.66,261.66
cpu_only_spf,48,1000,1350,100.0%,0.7407,626.49,565.05,565.05
cpu_only_srtf,1,10,629,100.0%,0.0159,362.70,299.80,143.70
cpu_only_srtf,1,100,6277,100.0%,0.0159,3269.67,3206.90,1265.82
cpu_only_srtf,1,500,31976,100.0%,0.0156,16731.65,16667.69,7221.50
cpu_only_srtf,1,1000,63259,100.0%,0.0158,32976.21,32912.95,13615.28
cpu_only_srtf,2,10,314,100.0%,0.0318,178.50,119.00,34.00
cpu_only_srtf,2,100,3324,100.0%,0.0301,1804.29,1737.98,605.82
cpu_only_srtf,2,500,15164,100.0%,0.0330,7716.79,7656.15,3402.14
cpu_only_srtf,2,1000,30078,100.0%,0.0332,15488.48,15428.36,6542.16
cpu_only_srtf,4,10,255,100.0%,0.0392,152.60,72.90,30.20
cpu_only_srtf,4,100,1504,100.0%,0.0665,732.76,674.16,298.92
cpu_only_srtf,4,500,7954,100.0%,0.0629,4181.96,4118.77,1807.71
cpu_only_srtf,4,1000,15792,100.0%,0.0633,8253.12,8190.04,3298.18
cpu_only_srtf,8,10,138,100.0%,0.0725,73.90,3.20,1.50
cpu_only_srtf,8,100,819,100.0%,0.1221,406.63,347.11,155.73
cpu_only_srtf,8,500,3964,100.0%,0.1261,2042.62,1979.77,798.38
cpu_only_srtf,8,1000,7991,100.0%,0.1251,4064.77,4001.08,1622.09
cpu_only_srtf,16,10,120,100.0%,0.0833,53.20,0.00,0.00
cpu_only_srtf,16,100,424,100.0%,0.2358,215.32,154.05,74.17
cpu_only_srtf,16,500,2004,100.0%,0.2495,1018.32,956.15,388.06
cpu_only_srtf,16,1000,3953,100.0%,0.2530,2069.11,2006.74,820.94
cpu_only_srtf,24,10,77,100.0%,0.1299,45.90,0.00,0.00
cpu_only_srtf,24,100,326,100.0%,0.3067,150.16,90.36,44.38
cpu_only_srtf,24,500,1434,100.0%,0.3487,711.68,646.43,275.77
cpu_only_srtf,24,1000,2713,100.0%,0.3686,1354.33,1291.47,557.47
cpu_only_srtf,32,10,122,100.0%,0.0820,45.90,0.00,0.00
cpu_only_srtf,32,100,285,100.0%,0.3509,125.89,60.06,29.90
cpu_only_srtf,32,500,1014,100.0%,0.4931,510.58,448.53,186.44
cpu_only_srtf,32,1000,1997,100.0%,0.5008,1032.18,969.79,399.41
cpu_only_srtf,48,10,129,100.0%,0.0775,74.10,0.00,0.00
cpu_only_srtf,48,100,202,100.0%,0.4950,83.25,25.16,14.74
cpu_only_srtf,48,500,692,100.0%,0.7225,352.02,290.65,128.44
cpu_only_srtf,48,1000,1362,100.0%,0.7342,674.11,612.29,265.88
