Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
balanced_FPPQ,4,500,8183,85.9%,0.0611,4145.97,516.21,0.00
balanced_FPPQ,4,1000,16558,85.8%,0.0604,8437.39,1039.62,0.00
balanced_FPPQ,8,10,263,83.3%,0.0380,154.40,0.20,0.00
balanced_FPPQ,8,100,1589,86.4%,0.0629,796.00,34.19,0.00
balanced_FPPQ,8,500,7913,84.8%,0.0632,3821.54,181.67,0.00
balanced_FPPQ,8,1000,17115,85.1%,0.0584,8291.63,378.16,0.00
balanced_FPPQ,16,10,154,77.9%,0.0649,90.10,0.00,0.00
balanced_FPPQ,16,100,1619,85.6%,0.0618,830.90,13.28,0.00
balanced_FPPQ,16,500,8125,84.7%,0.0615,3866.79,79.56,0.00
balanced_FPPQ,16,1000,17236,85.0%,0.0580,8064.65,169.51,0.00
balanced_FPPQ,24,10,199,74.9%,0.0503,105.10,0.00,0.00
balanced_FPPQ,24,100,1616,85.0%,0.0619,795.95,7.70,0.00
balanced_FPPQ,24,500,8237,84.1%,0.0607,3913.85,51.86,0.00
balanced_FPPQ,24,1000,16554,83.6%,0.0604,7957.54,98.91,0.00
balanced_FPPQ,32,10,176,80.1%,0.0568,114.60,0.00,0.00
balanced_FPPQ,32,100,1516,85.6%,0.0660,707.46,4.14,0.00
balanced_FPPQ,32,500,8023,84.4%,0.0623,3778.11,36.56,0.00
balanced_FPPQ,32,1000,16201,84.5%,0.0617,7597.35,73.85,0.00
balanced_FPPQ,48,10,180,83.3%,0.0556,117.60,0.00,0.00
balanced_FPPQ,48,100,1517,87.6%,0.0659,733.35,2.27,0.00
balanced_FPPQ,48,500,8267,85.2%,0.0605,3852.91,23.59,0.00
balanced_FPPQ,48,1000,16413,84.4%,0.0609,7621.24,49.30,0.00
