Algorithm,Number of cores,Number of processes,Total Time,CPU Utilization,Throughput,Average Turn Around Time,Average Wait Time,Average Response Time Time
balanced_spf,16,10,171,88.9%,0.0585,128.30,0.00,0.00
balanced_spf,16,100,1708,84.6%,0.0585,1134.57,8.71,8.58
balanced_spf,16,500,7772,85.6%,0.0643,4946.01,64.40,61.21
balanced_spf,16,1000,16303,86.1%,0.0613,10682.87,129.11,124.66
balanced_spf,24,10,159,89.3%,0.0629,95.50,0.00,0.00
balanced_spf,24,100,1639,83.3%,0.0610,1031.87,6.16,6.10
balanced_spf,24,500,8120,86.0%,0.0616,5257.76,39.77,38.63
balanced_spf,24,1000,16910,86.1%,0.0591,11157.77,80.53,78.50
balanced_spf,32,10,144,79.2%,0.0694,78.90,0.00,0.00
balanced_spf,32,100,1652,86.3%,0.0605,1095.47,3.53,3.43
balanced_spf,32,500,8129,86.1%,0.0615,5245.80,28.42,27.76
balanced_spf,32,1000,16728,85.6%,0.0598,10868.97,61.48,60.45
balanced_spf,48,10,175,84.0%,0.0571,99.90,0.00,0.00
balanced_spf,48,100,1492,87.9%,0.0670,944.12,1.57,1.57
balanced_spf,48,500,8176,85.5%,0.0612,5338.97,17.56,17.37
balanced_spf,48,1000,16711,84.4%,0.0598,10828.63,37.38,36.99
balanced_srtf,1,10,253,97.2%,0.0395,149.30,102.70,47.80
balanced_srtf,1,100,2959,99.8%,0.0338,1596.50,1536.97,514.79
balanced_srtf,1,500,15470,100.0%,0.0323,8169.65,8054.11,2864.22
balanced_srtf,1,1000,29719,100.0%,0.0336,15457.27,15210.60,4987.67
balanced_srtf,2,10,205,93.7%,0.0488,145.80,32.20,8.80
balanced_srtf,2,100,1808,94.4%,0.0553,1205.77,352.54,175.75
balanced_srtf,2,500,8264,95.5%,0.0605,5185.95,2201.28,976.88
balanced_srtf,2,1000,16277,96.2%,0.0614,10123.60,4161.59,1878.53
balanced_srtf,4,10,186,79.0%,0.0538,130.30,3.30,2.50
balanced_srtf,4,100,1635,87.6%,0.0612,1123.18,73.80,62.43
balanced_srtf,4,500,8321,86.8%,0.0601,5410.59,375.48,305.79
balanced_srtf,4,1000,16543,86.8%,0.0604,10766.86,817.73,666.19
balanced_srtf,8,10,122,88.5%,0.0820,67.90,0.20,0.20
balanced_srtf,8,100,1521,87.0%,0.0657,957.41,29.69,26.61
balanced_srtf,8,500,8519,85.7%,0.0587,5595.90,139.81,129.38
